X,Y,Society Name,Machines,Site Name,Full Addre,Site Addre,Town,Country,Territoria,addrtype,addrlocat
169.3931014,-45.2586095,Lion Foundation,0,Bendigo Hotel,2 Tarbert Street Alexandra,2 Tarbert Street,Alexandra,NZ,Central Otago District,street_address,RANGE_INTERPOLATED
172.637548,-43.5304725,Lion Foundation,18,Bailies Bar,50 Cathedral Square Christchurch,50 Cathedral Square,Christchurch,NZ,Christchurch City,street_address,ROOFTOP
172.5746519,-43.5315189,Lion Foundation,18,Bush Inn Hotel,364 Riccarton Road Upper Riccarton,364 Riccarton Road,Upper Riccarton,NZ,Christchurch City,street_address,ROOFTOP
172.6303208,-43.5401916,Lion Foundation,4,Crown Tavern,192 Moorhouse Ave Christchurch,192 Moorhouse Ave,Christchurch,NZ,Christchurch City,street_address,ROOFTOP
172.6431261,-43.5396075,Lion Foundation,0,Grosvenor Hotel,367 Moorhouse Avenue Christchurch,367 Moorhouse Avenue,Christchurch,NZ,Christchurch City,street_address,ROOFTOP
172.567796,-43.5807901,Lion Foundation,18,Halswell Tavern,Halswell Road Halswell,Halswell Road,Halswell,NZ,Christchurch City,route,GEOMETRIC_CENTER
172.5633198,-43.4967526,Lion Foundation,14,Hotel Russley,73 Roydale Avenue Riccarton,73 Roydale Avenue,Riccarton,NZ,Christchurch City,street_address,RANGE_INTERPOLATED
172.6366644,-43.5390167,Lion Foundation,18,New City Hotel,Cnr Colombo and Bath Streets Christchurch,Cnr Colombo and Bath Streets,Christchurch,NZ,Christchurch City,intersection,APPROXIMATE
172.597385,-43.5517362,Lion Foundation,14,Red and Black Hotel,33 Lincoln Road Christchurch,33 Lincoln Road,Christchurch,NZ,Christchurch City,street_address,ROOFTOP
172.6122113,-43.4918629,Lion Foundation,18,Rose and Thistle Tavern,Main North Road Papanui,Main North Road,Papanui,NZ,Christchurch City,route,GEOMETRIC_CENTER
172.5859668,-43.4993015,Lion Foundation,12,The Little Brown Jug,290 Wairakei Road Christchurch,290 Wairakei Road,Christchurch,NZ,Christchurch City,street_address,ROOFTOP
172.639385,-43.5329698,Lion Foundation,13,Yahoo Cafe,173 Cashel Street Christchurch,173 Cashel Street,Christchurch,NZ,Christchurch City,street_address,ROOFTOP
172.5074523,-43.5125766,Lion Foundation,18,Yaldhurst Hotel,15 West Coast Road Christchurch,15 West Coast Road,Christchurch,NZ,Christchurch City,street_address,ROOFTOP
170.5097618,-45.8684051,Lion Foundation,15,Bowling Green Hotel,71 Frederick Street Dunedin,71 Frederick Street,Dunedin,NZ,Dunedin City,street_address,ROOFTOP
170.4975027,-45.877773,Lion Foundation,2,Clarendon Hotel,28 Maclaggan Street Dunedin,28 Maclaggan Street,Dunedin,NZ,Dunedin City,street_address,ROOFTOP
170.500776,-45.8965695,Lion Foundation,18,Cock and Bull,67 MacAndrew Road South Dunedin,67 MacAndrew Road,South Dunedin,NZ,Dunedin City,street_address,ROOFTOP
170.4280857,-45.9023395,Lion Foundation,15,Commercial Tavern,Green Island Dunedin,Green Island,Dunedin,NZ,Dunedin City,sublocality_level_1,APPROXIMATE
170.500465,-45.8954766,Lion Foundation,10,Heff's Hotel,244 King Edward Street Dunedin,244 King Edward Street,Dunedin,NZ,Dunedin City,street_address,ROOFTOP
170.4808367,-45.8964302,Lion Foundation,18,Mitchells,289 South Road Dunedin,289 South Road,Dunedin,NZ,Dunedin City,street_address,ROOFTOP
173.2563624,-35.0463805,Lion Foundation,3,Awanui Hotel,Cnr Collard Street and Main Street Awanui,Cnr Collard Street and Main Street,Awanui,NZ,Far North District,locality,APPROXIMATE
173.947101,-35.2272115,Lion Foundation,11,Homestead Hotel,Homestead Road Kerikeri,Homestead Road,Kerikeri,NZ,Far North District,route,GEOMETRIC_CENTER
174.0898747,-35.2798919,Lion Foundation,14,Lighthouse Tavern,"Pahia Mall, Marsden Road Paihia","Pahia Mall, Marsden Road",Paihia,NZ,Far North District,route,GEOMETRIC_CENTER
173.5289181,-34.9940621,Lion Foundation,10,Mangonui Hotel,The Esplanade Mangonui,The Esplanade,Mangonui,NZ,Far North District,locality,APPROXIMATE
