Date,Meeting,Mayor,Bell,Bretherton,Christie,Cutforth,Deeming,Glen,Halse,Hermon,Innes,Martin,McLachlan,Morgan,Williamson
9 April 2014,Planning Committee,1,1,0,0,1,1,1,1,1,1,1,0,1,1
26 March 2014,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12 March 2014,Infrastructure Committee,1,1,0,1,1,1,1,1,1,1,1,0,1,1
12 March 2014,Planning Committee,1,1,0,1,1,1,1,1,1,1,1,0,1,1
26 February 2014,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12 February 2014,Infrastructure Committee,1,1,1,1,1,1,1,1,1,1,1,1,0,1
12 February 2014,Planning Committee,1,1,1,1,1,1,1,1,1,1,0,1,0,1
18 December 2013,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11 December 2013,Infrastructure Committee,1,0.5,1,1,1,1,1,0,1,1,1,1,1,1
11 December 2013,Planning Committee,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
27 November 2013,Finance Committee,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
Total,82,73.5,63,70,70,73,82,79,68.5,79.5,72.5,80.5,75,79,75
,,89.6%,76.8%,85.4%,85.4%,89.0%,100.0%,96.3%,83.5%,97.0%,88.4%,98.2%,91.5%,96.3%,91.5%
